TIMESTAMP,LOGGERPWR_1_1_1,LOGGERTEMP_1_1_1,RH_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PA_1_1_1,PPFD_1_1_1,PPFD_2_1_1,PPFD_3_1_1,P_RAIN_1_1_1,SW_IN_1_1_1,RH_2_1_1,RH_3_1_1,RH_4_1_1,RH_5_1_1,RH_6_1_1,NETRAD_1_1_1,G_1_1_1,SHF1SENS_1_1_1,G_2_1_1,SHF2SENS_1_1_1,G_2_1_1,SHF3SENS_1_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TA_2_1_1,TA_3_1_1,TA_4_1_1,TA_5_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,WD_1_1_1,WS_1_1_1
[yyyymmddHHMMSS],[OTHER],[C],[%],[W m-2],[W m-2],[kPa],[umolPhoton m-2s-1],[umolPhoton m-2s-1],[umolPhoton m-2s-1],[mm],[W m-2],[%],[%],[%],[%],[%],[W m-2],[W m-2],[OTHER],[W m-2],[OTHER],[W m-2],[OTHER],[%],[%],[%],[W m-2],[W m-2],[deg C],[deg C],[deg C],[deg C],[deg C],[deg C],[deg C],[deg C],[Decimal degrees],[m s-1]
20150709233000,-9999.,29.629999999999999,12.004799999999999,435.56430000000000,459.06843333333336,102.89950000000000,0.57208503333333338,4.4098210000000000,0.67140523333333335,0.0000000000000000,2.1817363333333333,98.602283333333332,98.550186666666661,66.773023333333327,67.722260000000006,68.510419999999996,-24.996876666666665,-5.3667639999999999,61.229999999999997,-5.9219096666666671,63.880000000000003,-1.5274960000000000,63.060000000000002,37.070833333333333,52.130826666666664,35.073606666666670,-4.5271706666666667,-3.0344449999999998,26.709753333333310,26.887443333333351,57.056049999999971,51.428353333333348,47.382726666666656,29.133333333333326,29.197499999999991,29.609166666666681,167.39757364877636,2.1059420200000001
20150710000000,-9999.,29.399999999999999,12.004756666666667,435.33753333333334,458.32986666666665,102.90586666666667,0.59194913333333332,4.4296846666666667,0.67670229999999998,0.0000000000000000,2.2049116666666668,97.349526666666662,97.071956666666665,66.742693333333335,67.466063333333338,68.281779999999998,-23.506616666666666,-5.4410420000000004,61.229999999999997,-6.1532223333333338,63.880000000000003,-1.9494220000000000,63.060000000000002,37.023336666666665,52.094996666666674,35.104723333333332,-4.1796336666666667,-3.6653473333333335,25.848342633333345,25.985399333333305,57.409836666666649,53.692266666666683,47.877683333333323,29.068333333333328,29.129166666666663,29.593333333333362,155.69344716295330,2.6214800000000000
20150710003000,-9999.,29.253333333333334,12.005046666666667,435.92129999999997,458.33803333333333,102.89583333333333,0.50984430000000003,4.3780380000000001,0.64889263333333336,0.0000000000000000,2.1380349999999999,95.805466666666661,95.737970000000004,66.738249999999994,67.776460000000000,68.163693333333327,-22.944886666666665,-5.4062289999999997,61.229999999999997,-6.2462836666666668,63.880000000000003,-2.2694073333333336,63.060000000000002,36.860283333333335,52.033343333333335,35.078606666666666,-3.9528463333333335,-3.4246780000000001,24.858867400000008,25.015239000000008,57.198393333333343,52.717773333333355,48.497410000000002,29.032499999999970,28.985000000000014,29.557500000000005,156.69801483018978,1.9532423333333333
20150710010000,-9999.,29.199999999999999,12.004669999999999,433.79216666666667,458.50553333333335,102.86516666666667,0.54427530000000002,4.4614683333333334,0.68067513333333340,0.0000000000000000,2.1737910000000000,98.571166666666670,97.991186666666664,66.963943333333333,68.125496666666663,68.329683333333335,-25.162433333333333,-5.4340143333333337,61.229999999999997,-6.3147906666666671,63.880000000000003,-2.6382129999999999,63.060000000000002,36.778890000000004,52.021950000000004,35.093890000000002,-4.0644010000000002,-3.6153186666666666,26.645506666666677,26.934476666666683,56.439586666666685,50.779266666666672,47.258363333333307,28.949999999999989,28.896666666666647,29.572499999999991,159.81561005081770,1.8427413333333333
20150710013000,-9999.,29.090000000000000,12.004950000000001,435.43860000000001,457.67846666666668,102.82920000000000,0.58135493333333332,4.4495496666666670,0.66478389999999998,0.0000000000000000,2.1963029999999999,97.312243333333328,97.028936666666667,66.741586666666663,67.656926666666664,68.091913333333338,-22.545933333333334,-5.5005090000000001,61.229999999999997,-6.3786296666666669,63.880000000000003,-2.9064429999999999,63.060000000000002,36.788336666666666,52.035826666666665,35.040836666666664,-4.0067843333333331,-3.7006326666666665,25.654404999999997,25.891366000000005,57.421330000000012,53.375193333333357,48.808886666666695,28.844166666666638,28.887499999999989,29.531666666666638,160.13761995361043,1.9215913333333332
20150710020000,-9999.,28.899999999999999,12.005143333333333,434.27470000000000,457.36773333333332,102.79590000000000,0.55884236666666665,4.4627926666666671,0.66345960000000004,0.0000000000000000,2.2042496666666667,98.741576666666674,98.756256666666673,66.601243333333329,67.489903333333331,68.219246666666663,-23.355693333333335,-5.5309989999999996,61.229999999999997,-6.4258860000000002,63.880000000000003,-3.1433886666666666,63.060000000000002,36.972506666666668,51.984169999999999,35.019166666666671,-4.0037209999999996,-3.7411829999999999,26.533700000000010,26.746010000000012,57.660619999999994,52.967616666666686,49.668886666666651,28.754999999999995,28.870833333333337,29.528333333333308,179.80034537231586,1.6142583333333334
20150710023000,-9999.,28.899999999999999,12.005170000000000,431.93173333333334,456.21596666666665,102.75646666666667,0.57738213333333332,4.4469003333333337,0.72172743333333333,0.0000000000000000,2.1771020000000001,97.468703333333337,97.551050000000004,66.505173333333332,67.331450000000004,67.883399999999995,-24.779643333333333,-5.6290633333333338,61.229999999999997,-6.4578073333333332,63.880000000000003,-3.3517783333333333,63.060000000000002,36.971670000000003,51.941943333333327,34.998880000000000,-4.0588853333333335,-3.5626556666666667,25.456659999999999,25.673342666666656,57.993806666666671,54.169480000000021,51.156573333333313,28.673333333333346,28.865833333333342,29.511666666666656,175.76329623611568,1.5406336666666667
20150710030000,-9999.,28.730000000000000,12.005240000000001,436.41286666666667,456.72739999999999,102.71716666666667,0.56943646666666670,4.4402793333333337,0.69656633333333329,0.0000000000000000,2.1857086666666667,97.662409999999994,97.797363333333337,66.649090000000001,67.622100000000003,67.970546666666664,-20.986563333333333,-5.7435630000000000,61.229999999999997,-6.5499376666666667,63.880000000000003,-3.5380186666666669,63.060000000000002,36.804169999999999,52.027786666666664,34.970833333333331,-3.7407693333333332,-3.0686763333333333,25.369060333333323,25.556085999999993,57.485413333333327,51.958523333333346,50.182763333333355,28.625833333333333,28.792500000000018,29.504166666666663,184.49316561371845,1.2630283333333334
20150710033000,-9999.,28.620000000000001,12.005250000000000,438.49483333333336,456.84326666666664,102.68203333333334,0.58135493333333332,4.4720623333333336,0.70186333333333339,0.0000000000000000,2.1823989999999998,94.881906666666666,96.405659999999997,66.704886666666667,67.832376666666661,67.892600000000002,-18.959769999999999,-5.8118943333333331,61.229999999999997,-6.6668383333333336,63.880000000000003,-3.7268816666666669,63.060000000000002,36.639443333333332,51.919443333333334,34.912210000000002,-3.7315749999999999,-3.1202850000000000,23.562334000000021,24.429403666666644,56.660513333333313,51.955216666666672,49.433699999999988,28.570833333333326,28.719999999999970,29.505833333333328,199.93076208435591,1.1919074666666667
20150710040000,-9999.,28.600000000000001,12.005230000000001,438.90760000000000,457.15836666666667,102.67936666666667,0.53765403333333328,4.5025206666666664,0.65286549999999999,0.0000000000000000,2.1929940000000001,96.453800000000001,96.484510000000000,66.759010000000004,67.859536666666671,67.867316666666667,-18.749455666666666,-5.7700516666666664,61.229999999999997,-6.7324383333333335,63.880000000000003,-3.9019923333333333,63.060000000000002,36.666113333333335,51.922773333333339,34.882219999999997,-3.6684416666666668,-3.1697883333333334,24.594817666666643,24.491161999999974,56.668740000000014,51.745003333333329,49.739489999999989,28.562500000000000,28.624166666666667,29.500000000000000,186.51247405341263,1.2863481333333333
20150710043000,-9999.,28.600000000000001,12.005703333333333,440.08516666666668,456.99513333333334,102.64600000000000,0.56149086666666670,4.4641166666666665,0.68862076666666672,0.0000000000000000,2.1771016666666667,99.257360000000006,99.258690000000001,66.547030000000007,67.856136666666671,67.940546666666663,-18.143243333333334,-5.6906913333333335,61.229999999999997,-6.7055963333333333,63.880000000000003,-4.0610406666666670,63.060000000000002,36.713883333333335,51.830273333333331,34.880560000000003,-3.9497813333333331,-2.7163603333333333,26.410399999999981,26.330039999999997,57.314059999999984,51.462159999999983,51.050906666666663,28.534166666666692,28.572499999999991,29.500833333333333,147.98880575460547,1.0306222000000000
20150710050000,-9999.,28.600000000000001,12.005646666666667,435.69330000000002,455.91783333333336,102.65836666666667,0.57076076666666664,4.4667653333333330,0.73099723333333333,0.0000000000000000,2.1956416666666665,99.391803333333328,99.366986666666662,66.447466666666671,67.200243333333333,67.841870000000000,-20.744521666666667,-5.6212790000000004,61.229999999999997,-6.6920200000000003,63.880000000000003,-4.1932146666666670,63.060000000000002,36.721113333333335,51.823059999999998,34.864723333333330,-4.4039686666666666,-3.8839000000000001,26.500193333333357,26.405460000000005,58.409379999999999,53.605803333333313,52.099719999999991,28.496666666666670,28.516666666666652,29.493333333333339,91.371823115523384,2.2824246666666665
20150710053000,-9999.,28.480000000000000,12.005216666666668,414.76586666666668,452.08526666666666,102.64893333333333,0.56678796666666664,4.4786836666666670,0.69259349999999997,0.0000000000000000,2.2029250000000000,97.947289999999995,97.784546666666671,66.373950000000008,66.448086666666669,66.745710000000003,-39.350016666666669,-5.6580393333333330,61.229999999999997,-6.6535739999999999,63.880000000000003,-4.3071196666666669,63.060000000000002,36.667773333333329,51.785833333333329,34.871110000000002,-5.0714596666666667,-3.0407636666666669,25.474646000000007,25.452456666666649,58.464940000000013,57.518453333333355,57.018916666666655,28.477500000000020,28.411666666666690,29.485000000000014,78.586421874696711,2.4359766666666669
20150710060000,-9999.,28.219999999999999,12.005343333333334,411.46550000000002,450.84976666666665,102.66093333333333,0.60651606666666669,4.4879540000000002,0.67405376666666672,0.0000000000000000,2.2155063333333334,99.366586666666663,99.283393333333336,66.247550000000004,66.280853333333326,66.511510000000001,-41.001460000000002,-5.9601280000000001,61.229999999999997,-6.7522326666666670,63.880000000000003,-4.4087426666666669,63.060000000000002,36.564723333333333,51.814160000000001,34.847223333333332,-4.9360010000000001,-3.3188253333333333,26.302279999999996,26.255370000000028,58.897279999999967,58.238873333333345,57.868843333333359,28.454166666666652,28.322499999999991,29.465000000000032,92.349272784838419,2.4386763333333334
20150710063000,-9999.,28.000000000000000,12.005940000000001,409.54286666666667,450.09096666666665,102.65106666666667,0.62108303333333337,4.3727419999999997,0.65948676666666672,0.0000000000000000,2.1512780000000000,97.982159999999993,97.984296666666665,66.232073333333332,66.263350000000003,66.214256666666671,-42.789540000000002,-6.1839333333333331,61.229999999999997,-6.9099653333333331,63.880000000000003,-4.5066920000000001,63.060000000000002,36.484163333333335,51.866666666666660,34.831666666666663,-5.0720733333333330,-2.8306393333333335,25.162782333333325,25.147205999999983,59.033749999999998,58.487803333333318,57.922136666666688,28.439166666666665,28.295000000000016,29.449166666666656,80.020770548613328,1.8557366666666666
20150710070000,-9999.,27.926666666666666,12.006583333333333,410.42203333333333,449.48663333333332,102.66546666666666,0.93758379999999997,5.0229583333333334,1.2845424666666665,0.0000000000000000,2.3863376666666665,99.399926666666659,99.465063333333333,65.889349999999993,66.282436666666669,66.305999999999997,-40.783740000000002,-6.5247320000000002,61.229999999999997,-7.1437646666666668,63.880000000000003,-4.6782349999999999,63.060000000000002,36.437496666666668,51.837496666666674,34.794443333333334,-4.5676240000000004,-2.8485440000000000,25.868873333333340,25.871100000000013,59.095743333333360,58.549103333333335,57.788026666666667,28.367500000000007,28.292500000000018,29.408333333333303,86.420910952340051,2.0874410000000001
20150710073000,-9999.,27.789999999999999,12.006790000000001,410.12896666666666,450.51736666666665,102.69276666666667,17.889576000000002,33.478892666666667,31.487194333333331,0.0000000000000000,14.921882666666667,98.272953333333334,98.524199999999993,65.954726666666673,66.389790000000005,67.074386666666669,-30.082673333333332,-6.8067083333333329,61.229999999999997,-7.4180880000000000,63.880000000000003,-4.8503003333333332,63.060000000000002,36.392506666666669,51.881949999999996,34.800836666666669,10.375222633333333,6.9514363333333259E-002,24.772752000000025,25.241032333333351,58.655629999999974,56.647996666666643,53.392943333333335,28.266666666666652,28.287500000000023,29.398333333333312,74.489610481201055,2.2552989999999999
20150710080000,-9999.,27.680000000000000,12.006256666666667,408.08040000000000,450.83920000000001,102.75113333333333,69.027626666666663,137.55594666666667,132.86942333333334,0.0000000000000000,57.862690000000001,98.152396666666661,98.083709999999996,66.080303333333333,66.337463333333332,66.832266666666669,9.4417661666666657,-6.6646390000000002,61.229999999999997,-7.6347889999999996,63.880000000000003,-5.0394779999999999,63.060000000000002,36.340000000000003,51.844723333333334,34.760273333333330,62.075429999999997,9.8748466666666666,24.830497333333312,25.163019000000020,58.378186666666693,56.070280000000025,53.867210000000000,28.177500000000009,28.270553333333339,29.331666666666649,104.03193412719797,1.8469363333333333
