Sitename:Pekan
Location: Latitude:    3.4383266 - Longitude:  103.3899384 - Elevation (masl):    35.
Principal investigator: 
Ecosystem type: 
File creation date: 2015-08-10T10:20
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2015,0,182.39577000000000,182,930,0.17710620079457243,26.880281544264506,199.01314612564278,1.0815827798624000,1.7998333121707604,3.1608816636700956,-1.3610483514993352,3.2461046014931605,5.6272139064678903,20.976010025746646,2.0367539310327043,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.039503333333334,100.95613716480447,407.37537091690484,3.1069632184106069,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.2112187960025693,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.18408953860551572
 2015,0,182.41659999999999,182,1000,0.12199554640974986,27.168935391729690,289.21365488568790,0.99475513921024461,5.6753114974923866,0.89836327156922313,4.7769482259231637,5.5771342144236913,5.9878403568292331,44.336504220593440,2.2012121890704188,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.039556666666666,100.98958032122906,414.09350347362664,3.1600300205178602,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.2817494176634350,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.96746616090787318
 2015,0,182.43743000000001,182,1030,0.22309450248331408,27.482127720497090,263.15195441504108,0.31669082549150418,9.0333721999146412,6.5609612895782154,2.4724109103364249,12.343944835095947,6.4919583917629780,65.629424070838738,2.4275222372096454,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.038986666666666,101.01632159217878,417.57332013326499,3.2185222883789035,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.3596156326748883,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.35006803762792826
 2015,0,182.45826000000000,182,1100,0.14516498613668710,27.860512357743744,234.34121321150414,0.24165022094036825,10.397283671969973,13.736125010379871,-3.3388413384098983,4.9591565312777002,7.8336720449057262,59.178918629385379,3.0336529428270067,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.039250000000001,101.01675794692738,412.86814414860584,3.2904102483536635,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.4570822952926727,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.51047477030450117
 2015,0,182.47909000000001,182,1130,7.1655936088919694E-002,27.989716334849106,314.18128824512655,0.97480936779616190,5.4201278665587962,11.829051573181333,-6.4089237066225371,-0.44757398170618079,2.6736283610668736,73.994033455353190,1.0550673596276821,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.039196666666667,101.01108294692737,403.83214964401640,3.3152807369190240,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.4910007293459957,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.38306616581931235
 2015,0,182.49992000000000,182,1200,0.18434789973563270,28.191397687176675,320.62817780406255,1.1773981855417608,17.147807628119359,10.658701452527895,6.4891061755914663,24.950080249422825,4.1698228108015201,122.08254632080268,1.6729615693837123,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.038883333333333,100.99040441340782,412.98919582073694,3.3544382748923081,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.5448409139672243,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.2542380395778316
 2015,0,182.52074999999999,182,1230,0.20780915760232013,28.543219577213847,289.66363449672139,1.0110710097492401,22.088331544857024,25.750238244909347,-3.6619067000523242,17.257046930229858,7.2625502478156969,97.408252232691041,2.9736340280434526,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.038956666666667,100.94620916201117,407.81342985597780,3.4236865590736709,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.6407265978879364,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.60578637224060261
 2015,0,182.54158000000001,182,1300,0.11704781973362319,29.147049159896937,308.51992843663965,0.69178406311291663,-14.376193004100312,-4.9040483159946797,-9.4721446881056313,24.768259082061817,12.434527134073830,88.191244163116423,5.1642193780410528,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.038326666666666,100.89911254189944,394.39237423248068,3.5454695691647355,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.8077577642966158,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.8671829742428718
 2015,0,182.56241000000000,182,1330,0.27790913018299773,30.115553299887665,157.21283515752785,0.86398156297642936,-18.853050233527295,-17.489765402822602,-1.3632848307046930,63.176555342188877,19.868194669622937,103.93500452209121,8.5792576259891948,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037879999999999,100.82915223463687,392.45320676919857,3.7486510526817889,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.0865901089066305,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.92790252402125006
 2015,0,182.58323999999999,182,1400,0.22266387390020190,30.993002894083588,156.53968530059328,0.96874918130644150,-25.081038111417932,-24.295166736665863,-0.78587137475207003,158.00248127205032,17.936089641271945,265.45966561480117,8.1230569745949666,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.037106666666666,100.75324265277779,391.33128655913464,3.9414102843201699,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.3517859711095426,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.5141144884811899
